"table_name","column_name","data_type"
"payment_history","updated_at","timestamp with time zone"
"subject_categories","subject_id","uuid"
"onboarding","id","uuid"
"onboarding","user_id","uuid"
"onboarding","created_subject","boolean"
"onboarding","created_content","boolean"
"onboarding","created_event","boolean"
"onboarding","added_grade","boolean"
"onboarding","added_error_entry","boolean"
"onboarding","visited_review","boolean"
"onboarding","configured_event_source","boolean"
"onboarding","visited_grades","boolean"
"onboarding","is_completed","boolean"
"onboarding","is_dismissed","boolean"
"onboarding","created_at","timestamp with time zone"
"onboarding","updated_at","timestamp with time zone"
"onboarding","created_flashcard","boolean"
"subscriptions","id","uuid"
"subscriptions","user_id","uuid"
"subscriptions","profile_id","uuid"
"subscriptions","plan","USER-DEFINED"
"subscriptions","status","USER-DEFINED"
"subscriptions","current_period_start","timestamp with time zone"
"subscriptions","current_period_end","timestamp with time zone"
"subscriptions","cancel_at_period_end","boolean"
"subscriptions","created_at","timestamp with time zone"
"subscriptions","updated_at","timestamp with time zone"
"payment_history","id","uuid"
"payment_history","user_id","uuid"
"payment_history","amount_paid","numeric"
"payment_history","payment_date","timestamp with time zone"
"payment_history","created_at","timestamp with time zone"
"subject_categories","id","uuid"
"subject_categories","created_at","timestamp with time zone"
"subject_categories","updated_at","timestamp with time zone"
"subject_categories","user_id","uuid"
"event_contents","id","uuid"
"event_contents","event_id","uuid"
"event_contents","content_id","uuid"
"event_contents","created_at","timestamp with time zone"
"event_contents","updated_at","timestamp with time zone"
"subjects","id","uuid"
"subjects","user_id","uuid"
"subjects","created_at","timestamp with time zone"
"subjects","updated_at","timestamp with time zone"
"contents","id","uuid"
"contents","subject_id","uuid"
"contents","priority","USER-DEFINED"
"contents","created_at","timestamp with time zone"
"contents","updated_at","timestamp with time zone"
"contents","completed","boolean"
"contents","deleted","boolean"
"contents","due_date","timestamp with time zone"
"contents","focus_time","integer"
"contents","completed_at","timestamp with time zone"
"contents","study_time","integer"
"contents","category_id","uuid"
"event_sources","id","uuid"
"event_sources","user_id","uuid"
"event_sources","created_at","timestamp with time zone"
"event_sources","updated_at","timestamp with time zone"
"profiles","id","uuid"
"profiles","user_id","uuid"
"profiles","level","integer"
"profiles","xp","integer"
"profiles","created_at","timestamp with time zone"
"profiles","updated_at","timestamp with time zone"
"profiles","streak","integer"
"profiles","last_study_date","timestamp with time zone"
"profiles","subscription_plan","USER-DEFINED"
"error_entries","id","uuid"
"error_entries","event_id","uuid"
"error_entries","subject_id","uuid"
"error_entries","category_id","uuid"
"error_entries","created_at","timestamp with time zone"
"error_entries","updated_at","timestamp with time zone"
"error_entries","source_id","uuid"
"error_entries","reviewed","boolean"
"error_entries","user_id","uuid"
"flashcard_decks","id","uuid"
"flashcard_decks","user_id","uuid"
"flashcard_decks","subject_id","uuid"
"flashcard_decks","created_at","timestamp with time zone"
"flashcard_decks","updated_at","timestamp with time zone"
"flashcard_decks","deleted","boolean"
"flashcards","id","uuid"
"flashcards","deck_id","uuid"
"flashcards","user_id","uuid"
"flashcards","created_at","timestamp with time zone"
"flashcards","updated_at","timestamp with time zone"
"flashcards","deleted","boolean"
"flashcard_states","id","uuid"
"flashcard_states","flashcard_id","uuid"
"flashcard_states","user_id","uuid"
"flashcard_states","stability","double precision"
"flashcard_states","difficulty","double precision"
"flashcard_states","next_due_date","timestamp with time zone"
"flashcard_states","last_review_date","timestamp with time zone"
"flashcard_states","state","integer"
"flashcard_states","lapses","integer"